text,label
သူ့ ရဲ့ မျက်လုံး က အရမ်းလှလို့ လူတွေ အားကျတယ်,no
သူ ရဲ့ မျက်နှာ က တော်တော်ကြည့်ရဆိုးတာပဲ,bo
သူ ရဲ့ ခြေထောက် က မဲလိုက်တာ,bo
အဲ့ကောင်လေး ဆံပင်က နီကြောင်ကြောင်ကြီး,bo
သူ့ပခုံး က အနိမ့်အမြင့်မညီဘူး,bo
သူ့လက်ကလည်းညစ်ပတ်လိုက်တာ,bo
သူ့လက်ကအနာတွေကြီးပဲ,bo
ဟိုကောင်လေး မျက်စိ က စောင်းနေတယ် သိလား,bo
ကောင်လေး ရဲ့ ကိုယ်လုံးက မုန်းစရာကြီး,bo
ဂီ့မျက်နှာ က အခုမှပဲ ပြန်ကြည်လာတယ်,no
အရင်ကဆုံးမနဲ့တူတယ်,bo
သူက၀လို့ဘယ်‌ယောက်ျားကယူမှာလဲ,bo
အမ‌ ‌ရေ ပိန်သွားလိုက်တာ,bo
မောင်လေး တစ်နေ့တစ်ခြား၀လာတာ သိလား,bo
လမ်းကူးသွားတဲ့ ကောင်မလေး ‌ခြေထောက်ကကောက်နေတာတွေ့လား,bo
မင်းဇော်မိန်းမက ရုပ်ဆိုးကြီး,bo


လူတွေ ရဲ့ ခြေထောက် က အညို ကြောင့် လုံးဝ မဆွဲဆောင်ဘူး,body_shaming
မိန်းကလေး ရဲ့ အရေပြား က လှ ကြောင့် မျက်နှာတောက်နေတယ်,neutral
သူမ ရဲ့ ဆံပင် က လှ ကြောင့် လူတွေအားကျနေကြတယ်,neutral
မင်း ရဲ့ ကိုယ်ပုံစံ က မလှ ကြောင့် မိုက်နေတာပဲ,body_shaming
လူတွေ ရဲ့ နား က စင် ကြောင့် အရမ်း လှတယ်,neutral
ကောင်လေး ရဲ့ အရေပြား က လုံး ဖြစ်နေတာ ကြောင့် အရမ်း မကောင်းဘူး,body_shaming
သူမ ရဲ့ ခြေထောက် က စိုင်း ဖြစ်နေတာ ကြောင့် အရမ်း မကောင်းဘူး,body_shaming
ကောင်လေး ရဲ့ ကိုယ် က ညီညာ ကြောင့် အရမ်း လှတယ်,neutral
မင်း ရဲ့ အရေပြား က ထူ ကြောင့် လူတွေနဲ့ မချင်းဆိုင်ဘူး,body_shaming
လူတွေ ရဲ့ ကိုယ် က လုံး ကြောင့် လူတွေနဲ့ မချင်းဆိုင်ဘူး,body_shaming
လူတွေ ရဲ့ ဆံပင် က ပိန် ကြောင့် လူမကြိုက်ဘူး,body_shaming
ကောင်လေး ရဲ့ နား က တောက်ပ ဖြစ်နေတာကြောင့် အရမ်း စင်ကြယ်တယ်,neutral
သူ ရဲ့ ဆံပင် က ကြည် ကြောင့် အရမ်း လှတယ်,neutral
မင်း ရဲ့ မျက်နှာ က စိုင်း ကြောင့် လူတွေနဲ့ မချင်းဆိုင်ဘူး,body_shaming
သူတို့ ရဲ့ မျက်နှာ က မလှ ဖြစ်နေတာကြောင့် အရမ်း မစင်မကြယ်ဘူး,body_shaming
သူတို့ ရဲ့ မျက်စိ က လုံး ဖြစ်နေတာ မလှဘူး,body_shaming
မင်း ရဲ့ ကိုယ် က အဆင်ပြေ ကြောင့် အားလုံး ဝေဖန်မယ်ထင်တယ်,neutral
မိန်းကလေး ရဲ့ မျက်နှာ က အရမ်းမလှ ကြောင့် လုံးဝ မဆွဲဆောင်ဘူး,body_shaming
သူမ ရဲ့ နား က ထူ ကြောင့် လူတွေနဲ့ မချင်းဆိုင်ဘူး,body_shaming
သူတို့ ရဲ့ မျက်စိ က အညို ဖြစ်နေတာ ကြောင့် အရမ်း မကောင်းဘူး,body_shaming
မင်း ရဲ့ မျက်စိ က အညို ကြောင့် လူမကြိုက်ဘူး,body_shaming
သူတို့ ရဲ့ ခြေထောက် က နူးညံ့ ကြောင့် အဝတ်အစား လှပတယ်,neutral
မိန်းကလေး ရဲ့ အရေပြား က လုံး ဖြစ်နေတာ ကြောင့် လူတွေ ကြည့်နေတယ်,body_shaming
သူ ရဲ့ နား က ညီညာ ဖြစ်နေတာကြောင့် အရမ်း စင်ကြယ်တယ်,neutral
သူ ရဲ့ မျက်စိ က စင် ဖြစ်နေတာကြောင့် အရမ်း စင်ကြယ်တယ်,neutral
ကောင်လေး ရဲ့ ကိုယ်ပုံစံ က လုံး ကြောင့် လူမကြိုက်ဘူး,body_shaming
သူမ ရဲ့ အရေပြား က အဆင်ပြေ ကြောင့် လူတွေအားကျနေကြတယ်,neutral
လူတွေ ရဲ့ ကိုယ်ပုံစံ က လှ ကြောင့် အရမ်း လှတယ်,neutral
ကောင်လေး ရဲ့ ကိုယ်ပုံစံ က လုံး နေတာကြောင့် အဝတ်အစား လှပလို့ မရဘူး,body_shaming
သူတို့ ရဲ့ နား က တောက်ပ ကြောင့် မျက်နှာတောက်နေတယ်,neutral
မင်း ရဲ့ မျက်စိ က ချော ကြောင့် လူတွေအားကျနေကြတယ်,neutral
သူမ ရဲ့ မျက်နှာ က အရမ်းမလှ ဖြစ်နေတာကြောင့် အရမ်း မစင်မကြယ်ဘူး,body_shaming
သူမ ရဲ့ လက် က အညို ဖြစ်နေတာကြောင့် အရမ်း မစင်မကြယ်ဘူး,body_shaming
သူ ရဲ့ ခြေထောက် က စိုင်း ဖြစ်နေတာ မလှဘူး,body_shaming
ကောင်လေး ရဲ့ ဆံပင် က ချော ကြောင့် အရမ်း လှတယ်,neutral
မိန်းကလေး ရဲ့ ဆံပင် က တောက်ပ ကြောင့် မျက်နှာတောက်နေတယ်,neutral
သူ ရဲ့ ကိုယ်ပုံစံ က လှ ကြောင့် အရမ်း လှတယ်,neutral
သူမ ရဲ့ ကိုယ် က ပိန် ကြောင့် မျက်နှာတောက်မယ် မထင်ဘူး,body_shaming
သူ ရဲ့ နား က ကြမ်း ဖြစ်နေတာ ကြောင့် လူတွေ ကြည့်နေတယ်,body_shaming
လူတွေ ရဲ့ မျက်နှာ က စင် ကြောင့် တော်တော် စင်ကြယ်တယ်,neutral
မိန်းကလေး ရဲ့ ခြေထောက် က အရမ်းမလှ ဖြစ်နေတာ ကြောင့် လူတွေ ကြည့်နေတယ်,body_shaming
မိန်းကလေး ရဲ့ လက် က မကြည် ကြောင့် မိုက်နေတာပဲ,body_shaming
မင်း ရဲ့ မျက်နှာ က လှ ဖြစ်နေတာကြောင့် လူတွေ အားကျတယ်,neutral
သူမ ရဲ့ နား က ပိန် ကြောင့် လူတွေနဲ့ မချင်းဆိုင်ဘူး,body_shaming
သူ ရဲ့ ကိုယ်ပုံစံ က ညီညာ ကြောင့် အဝတ်အစား လှပတယ်,neutral
သူ ရဲ့ မျက်စိ က ကြည် ဖြစ်နေတာကြောင့် အရမ်း စင်ကြယ်တယ်,neutral
သူတို့ ရဲ့ ဆံပင် က လှ ဖြစ်နေတာကြောင့် အရမ်း ဆွဲဆောင်တယ်,neutral
သူမ ရဲ့ အရေပြား က ညီညာ ဖြစ်နေတာကြောင့် လူတွေ အားကျတယ်,neutral
သူမ ရဲ့ ခြေထောက် က လှ ကြောင့် တော်တော် စင်ကြယ်တယ်,neutral
မိန်းကလေး ရဲ့ ကိုယ် က နူးညံ့ ဖြစ်နေတာကြောင့် အရမ်း ဆွဲဆောင်တယ်,neutral

လူတွေ ရဲ့ မျက်နှာ က အရမ်းမလှ ကြောင့် မိုက်နေတာပဲ,body_shaming
ကောင်လေး ရဲ့ ကိုယ် က ထူ ကြောင့် လုံးဝ မဆွဲဆောင်ဘူး,body_shaming
သူ ရဲ့ အရေပြား က အညို နေတာကြောင့် အဝတ်အစား လှပလို့ မရဘူး,body_shaming
မင်း ရဲ့ ခြေထောက် က အရမ်းတောက် ကြောင့် လူတွေအားကျနေကြတယ်,neutral
မိန်းကလေး ရဲ့ အရေပြား က ကြမ်း ကြောင့် လူတွေနဲ့ မချင်းဆိုင်ဘူး,body_shaming
လူတွေ ရဲ့ ကိုယ်ပုံစံ က အရမ်းတောက် ဖြစ်နေတာကြောင့် အရမ်း စင်ကြယ်တယ်,neutral
မိန်းကလေး ရဲ့ ဆံပင် က မကြည် ကြောင့် မျက်နှာတောက်မယ် မထင်ဘူး,body_shaming
သူတို့ ရဲ့ ကိုယ်ပုံစံ က မညီ ဖြစ်နေတာကြောင့် အရမ်း မစင်မကြယ်ဘူး,body_shaming
မိန်းကလေး ရဲ့ မျက်စိ က အဆင်ပြေ ကြောင့် အဝတ်အစား လှပတယ်,neutral
မိန်းကလေး ရဲ့ အရေပြား က ကြမ်း ကြောင့် မျက်နှာတောက်မယ် မထင်ဘူး,body_shaming
မင်း ရဲ့ ကိုယ် က ထူ ဖြစ်နေတာ မလှဘူး,body_shaming
သူ ရဲ့ မျက်နှာ က အညို ကြောင့် လုံးဝ မဆွဲဆောင်ဘူး,body_shaming
သူတို့ ရဲ့ လက် က ညီညာ ကြောင့် မျက်နှာတောက်နေတယ်,neutral
သူတို့ ရဲ့ ခြေထောက် က အရမ်းမလှ ဖြစ်နေတာ ကြောင့် အရမ်း မကောင်းဘူး,body_shaming
သူ ရဲ့ ခြေထောက် က အဆင်ပြေ ကြောင့် အရမ်း လှတယ်,neutral
သူ ရဲ့ ကိုယ် က ညီညာ ဖြစ်နေတာကြောင့် လူတွေ အားကျတယ်,neutral
မိန်းကလေး ရဲ့ ကိုယ်ပုံစံ က စင် ကြောင့် အားလုံး ဝေဖန်မယ်ထင်တယ်,neutral
သူ ရဲ့ ဆံပင် က ညီညာ ဖြစ်နေတာကြောင့် အရမ်း စင်ကြယ်တယ်,neutral
မင်း ရဲ့ ကိုယ် က မလှ ဖြစ်နေတာ ကြောင့် အရမ်း မကောင်းဘူး,body_shaming
လူတွေ ရဲ့ ခြေထောက် က လှ ဖြစ်နေတာကြောင့် အရမ်း စင်ကြယ်တယ်,neutral
မိန်းကလေး ရဲ့ မျက်နှာ က ကြည် ကြောင့် အဝတ်အစား လှပတယ်,neutral
သူမ ရဲ့ မျက်စိ က လှ ကြောင့် အားလုံး ဝေဖန်မယ်ထင်တယ်,neutral
လူတွေ ရဲ့ ဆံပင် က ကြမ်း ကြောင့် လုံးဝ မဆွဲဆောင်ဘူး,body_shaming
သူမ ရဲ့ မျက်နှာ က မညီ ဖြစ်နေတာကြောင့် အရမ်း မစင်မကြယ်ဘူး,body_shaming
သူတို့ ရဲ့ လက် က အဆင်ပြေ ကြောင့် အရမ်း လှတယ်,neutral
သူမ ရဲ့ ကိုယ်ပုံစံ က နူးညံ့ ကြောင့် လူတွေအားကျနေကြတယ်,neutral
သူတို့ ရဲ့ ကိုယ်ပုံစံ က တောက်ပ ကြောင့် လူတွေအားကျနေကြတယ်,neutral
သူ ရဲ့ ကိုယ် က လှ ကြောင့် မျက်နှာတောက်နေတယ်,neutral
မိန်းကလေး ရဲ့ နား က မလှ ကြောင့် လုံးဝ မဆွဲဆောင်ဘူး,body_shaming
မိန်းကလေး ရဲ့ လက် က တောက်ပ ဖြစ်နေတာကြောင့် အရမ်း ဆွဲဆောင်တယ်,neutral
မိန်းကလေး ရဲ့ ခြေထောက် က မညီ ကြောင့် လူတွေနဲ့ မချင်းဆိုင်ဘူး,body_shaming
ကောင်လေး ရဲ့ ကိုယ်ပုံစံ က စိုင်း ဖြစ်နေတာ မလှဘူး,body_shaming
သူတို့ ရဲ့ ကိုယ်ပုံစံ က ထူ ကြောင့် လူမကြိုက်ဘူး,body_shaming
မင်း ရဲ့ အရေပြား က စိုင်း ကြောင့် မျက်နှာတောက်မယ် မထင်ဘူး,body_shaming
သူမ ရဲ့ ခြေထောက် က ပိန် ကြောင့် လုံးဝ မဆွဲဆောင်ဘူး,body_shaming
သူ ရဲ့ မျက်နှာ က မကြည် ဖြစ်နေတာ မလှဘူး,body_shaming
သူမ ရဲ့ ကိုယ်ပုံစံ က ပိန် ဖြစ်နေတာ မလှဘူး,body_shaming
သူ ရဲ့ ကိုယ် က လုံး ဖြစ်နေတာ ကြောင့် လူတွေ ကြည့်နေတယ်,body_shaming
မင်း ရဲ့ မျက်နှာ က ချော ဖြစ်နေတာကြောင့် လူတွေ အားကျတယ်,neutral
သူမ ရဲ့ လက် က မကြည် ကြောင့် လုံးဝ မဆွဲဆောင်ဘူး,body_shaming
မိန်းကလေး ရဲ့ ဆံပင် က တောက်ပ ကြောင့် အဝတ်အစား လှပတယ်,neutral
လူတွေ ရဲ့ မျက်စိ က မကြည် ဖြစ်နေတာ ကြောင့် အရမ်း မကောင်းဘူး,body_shaming
လူတွေ ရဲ့ ခြေထောက် က တောက်ပ ဖြစ်နေတာကြောင့် အရမ်း စင်ကြယ်တယ်,neutral
သူတို့ ရဲ့ ကိုယ်ပုံစံ က အရမ်းမလှ ကြောင့် လူမကြိုက်ဘူး,body_shaming
သူ ရဲ့ ကိုယ် က အရမ်းတောက် ကြောင့် အားလုံးကြိုက်တယ်,neutral
သူ ရဲ့ မျက်နှာ က ထူ နေတာကြောင့် အဝတ်အစား လှပလို့ မရဘူး,body_shaming
မင်း ရဲ့ ကိုယ်ပုံစံ က အဆင်ပြေ ကြောင့် အဝတ်အစား လှပတယ်,neutral
မင်း ရဲ့ ကိုယ် က လုံး ဖြစ်နေတာ ကြောင့် လူတွေ ကြည့်နေတယ်,body_shaming
မင်း ရဲ့ ဆံပင် က ကြည် ကြောင့် တော်တော် စင်ကြယ်တယ်,neutral
သူမ ရဲ့ လက် က မညီ ကြောင့် မိုက်နေတာပဲ,body_shaming
ကောင်လေး ရဲ့ မျက်နှာ က အဆင်ပြေ ဖြစ်နေတာကြောင့် အရမ်း စင်ကြယ်တယ်,neutral
သူ ရဲ့ နား က အဆင်ပြေ ကြောင့် အရမ်း လှတယ်,neutral
ကောင်လေး ရဲ့ ဆံပင် က လုံး ကြောင့် လူတွေနဲ့ မချင်းဆိုင်ဘူး,body_shaming
သူတို့ ရဲ့ ကိုယ် က လုံး ကြောင့် လူတွေနဲ့ မချင်းဆိုင်ဘူး,body_shaming
ကောင်လေး ရဲ့ နား က ကြည် ကြောင့် အားလုံး ဝေဖန်မယ်ထင်တယ်,neutral
ကောင်လေး ရဲ့ မျက်စိ က စင် ဖြစ်နေတာကြောင့် လူတွေ အားကျတယ်,neutral
လူတွေ ရဲ့ မျက်နှာ က တောက်ပ ကြောင့် အားလုံး ဝေဖန်မယ်ထင်တယ်,neutral
လူတွေ ရဲ့ ခြေထောက် က မလှ နေတာကြောင့် အဝတ်အစား လှပလို့ မရဘူး,body_shaming
သူမ ရဲ့ ကိုယ်ပုံစံ က တောက်ပ ကြောင့် အရမ်း လှတယ်,neutral
မိန်းကလေး ရဲ့ လက် က ကြည် ကြောင့် မျက်နှာတောက်နေတယ်,neutral
လူတွေ ရဲ့ ခြေထောက် က စင် ကြောင့် တော်တော် စင်ကြယ်တယ်,neutral
မင်း ရဲ့ မျက်နှာ က လုံး ဖြစ်နေတာ မလှဘူး,body_shaming
ကောင်လေး ရဲ့ ဆံပင် က ကြည် ကြောင့် အဝတ်အစား လှပတယ်,neutral
သူမ ရဲ့ ဆံပင် က အညို ဖြစ်နေတာ ကြောင့် လူတွေ ကြည့်နေတယ်,body_shaming
မိန်းကလေး ရဲ့ ဆံပင် က ကြည် ကြောင့် အဝတ်အစား လှပတယ်,neutral
သူ ရဲ့ မျက်နှာ က ကြည် ကြောင့် တော်တော် စင်ကြယ်တယ်,neutral
သူမ ရဲ့ မျက်နှာ က လှ ဖြစ်နေတာကြောင့် လူတွေ အားကျတယ်,neutral
သူ ရဲ့ မျက်နှာ က မကြည် ဖြစ်နေတာကြောင့် အရမ်း မစင်မကြယ်ဘူး,body_shaming
သူ ရဲ့ ခြေထောက် က အရမ်းတောက် ကြောင့် လူတွေအားကျနေကြတယ်,neutral
ကောင်လေး ရဲ့ လက် က မလှ ကြောင့် လူတွေနဲ့ မချင်းဆိုင်ဘူး,body_shaming
သူမ ရဲ့ ဆံပင် က မညီ ဖြစ်နေတာကြောင့် အရမ်း မစင်မကြယ်ဘူး,body_shaming
မိန်းကလေး ရဲ့ မျက်နှာ က မလှ ကြောင့် လူမကြိုက်ဘူး,body_shaming
လူတွေ ရဲ့ အရေပြား က နူးညံ့ ကြောင့် လူတွေအားကျနေကြတယ်,neutral
ကောင်လေး ရဲ့ လက် က တောက်ပ ကြောင့် အဝတ်အစား လှပတယ်,neutral
လူတွေ ရဲ့ မျက်စိ က အညို ကြောင့် လုံးဝ မဆွဲဆောင်ဘူး,body_shaming
လူတွေ ရဲ့ နား က ကြည် ကြောင့် အရမ်း လှတယ်,neutral
ကောင်လေး ရဲ့ နား က ကြည် ကြောင့် အားလုံး ဝေဖန်မယ်ထင်တယ်,neutral
မင်း ရဲ့ နား က အဆင်ပြေ ကြောင့် မျက်နှာတောက်နေတယ်,neutral
ကောင်လေး ရဲ့ ခြေထောက် က အရမ်းတောက် ကြောင့် အားလုံး ဝေဖန်မယ်ထင်တယ်,neutral
သူတို့ ရဲ့ လက် က ကြည် ကြောင့် လူတွေအားကျနေကြတယ်,neutral
မင်း ရဲ့ အရေပြား က မညီ ဖြစ်နေတာ မလှဘူး,body_shaming
သူမ ရဲ့ ဆံပင် က အညို နေတာကြောင့် အဝတ်အစား လှပလို့ မရဘူး,body_shaming
မိန်းကလေး ရဲ့ ကိုယ် က မညီ ဖြစ်နေတာ မလှဘူး,body_shaming
သူမ ရဲ့ မျက်နှာ က ကြည် ကြောင့် အဝတ်အစား လှပတယ်,neutral
လူတွေ ရဲ့ ကိုယ် က တောက်ပ ကြောင့် အားလုံးကြိုက်တယ်,neutral
မင်း ရဲ့ ခြေထောက် က အရမ်းတောက် ကြောင့် အားလုံး ဝေဖန်မယ်ထင်တယ်,neutral
ကောင်လေး ရဲ့ အရေပြား က မလှ ကြောင့် လူတွေနဲ့ မချင်းဆိုင်ဘူး,body_shaming
သူ ရဲ့ အရေပြား က ထူ ကြောင့် လုံးဝ မဆွဲဆောင်ဘူး,body_shaming
ကောင်လေး ရဲ့ မျက်နှာ က တောက်ပ ကြောင့် အဝတ်အစား လှပတယ်,neutral
မိန်းကလေး ရဲ့ နား က အရမ်းမလှ ကြောင့် လုံးဝ မဆွဲဆောင်ဘူး,body_shaming
သူတို့ ရဲ့ ကိုယ် က လှ ကြောင့် အားလုံးကြိုက်တယ်,neutral
သူ ရဲ့ ခြေထောက် က မကြည် ဖြစ်နေတာ မလှဘူး,body_shaming
သူ ရဲ့ အရေပြား က လှ ကြောင့် အားလုံးကြိုက်တယ်,neutral
မင်း ရဲ့ ဆံပင် က လှ ဖြစ်နေတာကြောင့် လူတွေ အားကျတယ်,neutral
သူတို့ ရဲ့ နား က မလှ ကြောင့် လုံးဝ မဆွဲဆောင်ဘူး,body_shaming
မိန်းကလေး ရဲ့ မျက်နှာ က အရမ်းမလှ ကြောင့် လူမကြိုက်ဘူး,body_shaming
မိန်းကလေး ရဲ့ နား က မလှ ဖြစ်နေတာ ကြောင့် လူတွေ ကြည့်နေတယ်,body_shaming
လူတွေ ရဲ့ အရေပြား က နူးညံ့ ကြောင့် အားလုံးကြိုက်တယ်,neutral
သူတို့ ရဲ့ လက် က မလှ ကြောင့် လုံးဝ မဆွဲဆောင်ဘူး,body_shaming
မိန်းကလေး ရဲ့ ဆံပင် က စိုင်း ဖြစ်နေတာ ကြောင့် လူတွေ ကြည့်နေတယ်,body_shaming
သူတို့ ရဲ့ ဆံပင် က လုံး ကြောင့် လုံးဝ မဆွဲဆောင်ဘူး,body_shaming
ကောင်လေး ရဲ့ နား က မညီ ကြောင့် မိုက်နေတာပဲ,body_shaming
လူတွေ ရဲ့ ကိုယ်ပုံစံ က ကြမ်း ဖြစ်နေတာ ကြောင့် အရမ်း မကောင်းဘူး,body_shaming
သူ ရဲ့ မျက်နှာ က ထူ ကြောင့် မိုက်နေတာပဲ,body_shaming
မိန်းကလေး ရဲ့ အရေပြား က နူးညံ့ ကြောင့် အားလုံးကြိုက်တယ်,neutral
ကောင်လေး ရဲ့ လက် က လှ ဖြစ်နေတာကြောင့် အရမ်း ဆွဲဆောင်တယ်,neutral
လူတွေ ရဲ့ အရေပြား က ကြည် ဖြစ်နေတာကြောင့် လူတွေ အားကျတယ်,neutral
သူတို့ ရဲ့ နား က ကြမ်း ဖြစ်နေတာ ကြောင့် အရမ်း မကောင်းဘူး,body_shaming
မင်း ရဲ့ ခြေထောက် က ချော ဖြစ်နေတာကြောင့် အရမ်း စင်ကြယ်တယ်,neutral
သူမ ရဲ့ လက် က စိုင်း ဖြစ်နေတာ ကြောင့် အရမ်း မကောင်းဘူး,body_shaming
မင်း ရဲ့ နား က နူးညံ့ ဖြစ်နေတာကြောင့် လူတွေ အားကျတယ်,neutral
သူမ ရဲ့ ကိုယ် က မကြည် ကြောင့် လူတွေနဲ့ မချင်းဆိုင်ဘူး,body_shaming
မိန်းကလေး ရဲ့ လက် က စင် ကြောင့် အားလုံး ဝေဖန်မယ်ထင်တယ်,neutral
ကောင်လေး ရဲ့ မျက်စိ က အဆင်ပြေ ဖြစ်နေတာကြောင့် အရမ်း စင်ကြယ်တယ်,neutral
ကောင်လေး ရဲ့ လက် က စိုင်း ကြောင့် မိုက်နေတာပဲ,body_shaming
သူ ရဲ့ ကိုယ်ပုံစံ က မကြည် ကြောင့် လူမကြိုက်ဘူး,body_shaming
လူတွေ ရဲ့ အရေပြား က မညီ ဖြစ်နေတာ မလှဘူး,body_shaming
သူမ ရဲ့ မျက်နှာ က တောက်ပ ကြောင့် လူတွေအားကျနေကြတယ်,neutral
မိန်းကလေး ရဲ့ လက် က အညို နေတာကြောင့် အဝတ်အစား လှပလို့ မရဘူး,body_shaming
မင်း ရဲ့ ခြေထောက် က အရမ်းမလှ ကြောင့် လူတွေနဲ့ မချင်းဆိုင်ဘူး,body_shaming
လူတွေ ရဲ့ ကိုယ် က အညို ကြောင့် မျက်နှာတောက်မယ် မထင်ဘူး,body_shaming
လူတွေ ရဲ့ ကိုယ် က ညီညာ ဖြစ်နေတာကြောင့် လူတွေ အားကျတယ်,neutral
သူမ ရဲ့ အရေပြား က အဆင်ပြေ ကြောင့် အဝတ်အစား လှပတယ်,neutral
လူတွေ ရဲ့ အရေပြား က အရမ်းမလှ ကြောင့် မျက်နှာတောက်မယ် မထင်ဘူး,body_shaming
လူတွေ ရဲ့ လက် က လုံး ကြောင့် လူတွေနဲ့ မချင်းဆိုင်ဘူး,body_shaming
သူတို့ ရဲ့ လက် က ချော ကြောင့် အားလုံးကြိုက်တယ်,neutral
သူမ ရဲ့ မျက်နှာ က လှ ဖြစ်နေတာကြောင့် အရမ်း ဆွဲဆောင်တယ်,neutral
သူ ရဲ့ လက် က ချော ကြောင့် အရမ်း လှတယ်,neutral
မင်း ရဲ့ မျက်စိ က အညို ဖြစ်နေတာ ကြောင့် အရမ်း မကောင်းဘူး,body_shaming
သူမ ရဲ့ လက် က နူးညံ့ ကြောင့် အရမ်း လှတယ်,neutral
သူမ ရဲ့ မျက်နှာ က အရမ်းမလှ ဖြစ်နေတာ မလှဘူး,body_shaming
မိန်းကလေး ရဲ့ ခြေထောက် က ညီညာ ကြောင့် အဝတ်အစား လှပတယ်,neutral
ကောင်လေး ရဲ့ မျက်နှာ က အညို ကြောင့် လူမကြိုက်ဘူး,body_shaming
မိန်းကလေး ရဲ့ နား က တောက်ပ ဖြစ်နေတာကြောင့် အရမ်း ဆွဲဆောင်တယ်,neutral
လူတွေ ရဲ့ လက် က ချော ကြောင့် အရမ်း လှတယ်,neutral
မိန်းကလေး ရဲ့ မျက်နှာ က နူးညံ့ ဖြစ်နေတာကြောင့် လူတွေ အားကျတယ်,neutral
မိန်းကလေး ရဲ့ နား က စင် ကြောင့် တော်တော် စင်ကြယ်တယ်,neutral
သူတို့ ရဲ့ ကိုယ် က လှ ကြောင့် လူတွေအားကျနေကြတယ်,neutral
သူ ရဲ့ လက် က အညို ကြောင့် မျက်နှာတောက်မယ် မထင်ဘူး,body_shaming
လူတွေ ရဲ့ လက် က ပိန် ကြောင့် လုံးဝ မဆွဲဆောင်ဘူး,body_shaming
မင်း ရဲ့ ကိုယ် က ညီညာ ကြောင့် အဝတ်အစား လှပတယ်,neutral
သူတို့ ရဲ့ ဆံပင် က အဆင်ပြေ ဖြစ်နေတာကြောင့် လူတွေ အားကျတယ်,neutral
မင်း ရဲ့ ကိုယ်ပုံစံ က စိုင်း ကြောင့် လုံးဝ မဆွဲဆောင်ဘူး,body_shaming
မိန်းကလေး ရဲ့ ဆံပင် က မကြည် ကြောင့် လုံးဝ မဆွဲဆောင်ဘူး,body_shaming
သူ ရဲ့ ခြေထောက် က ချော ကြောင့် တော်တော် စင်ကြယ်တယ်,neutral
သူတို့ ရဲ့ မျက်နှာ က နူးညံ့ ကြောင့် အရမ်း လှတယ်,neutral
ကောင်လေး ရဲ့ လက် က ချော ကြောင့် တော်တော် စင်ကြယ်တယ်,neutral
မင်း ရဲ့ ဆံပင် က ထူ ကြောင့် လူတွေနဲ့ မချင်းဆိုင်ဘူး,body_shaming
သူမ ရဲ့ လက် က ထူ ကြောင့် လူမကြိုက်ဘူး,body_shaming
မိန်းကလေး ရဲ့ ကိုယ် က ကြမ်း ဖြစ်နေတာ ကြောင့် လူတွေ ကြည့်နေတယ်,body_shaming
သူတို့ ရဲ့ နား က စင် ကြောင့် မျက်နှာတောက်နေတယ်,neutral
မိန်းကလေး ရဲ့ လက် က မလှ ကြောင့် လုံးဝ မဆွဲဆောင်ဘူး,body_shaming
သူမ ရဲ့ မျက်နှာ က နူးညံ့ ဖြစ်နေတာကြောင့် လူတွေ အားကျတယ်,neutral
သူ ရဲ့ မျက်နှာ က မကြည် ဖြစ်နေတာ မလှဘူး,body_shaming
သူ ရဲ့ နား က လုံး ကြောင့် လူတွေနဲ့ မချင်းဆိုင်ဘူး,body_shaming
ကောင်လေး ရဲ့ ကိုယ်ပုံစံ က လုံး ကြောင့် မိုက်နေတာပဲ,body_shaming
သူတို့ ရဲ့ ကိုယ်ပုံစံ က အရမ်းမလှ ကြောင့် မိုက်နေတာပဲ,body_shaming
